question,res_w_ref_i9,res_w_ref_i8,res_w_ref_i6,res_w_ref_i7,res_w_ref_i5,res_w_ref_i4,res_w_ref_i0,res_w_ref_i1,res_w_ref_i3,res_w_ref_i2,res_w_ref_i10,res_wo_ref_i8,res_wo_ref_i9,res_wo_ref_i4,res_wo_ref_i5,res_wo_ref_i7,res_wo_ref_i6,res_wo_ref_i2,res_wo_ref_i3,res_wo_ref_i1,res_wo_ref_i0,res_wo_ref_i10,res_w_ref_i9_acc,res_w_ref_i8_acc,res_w_ref_i6_acc,res_w_ref_i7_acc,res_w_ref_i5_acc,res_w_ref_i4_acc,res_w_ref_i0_acc,res_w_ref_i1_acc,res_w_ref_i3_acc,res_w_ref_i2_acc,res_w_ref_i10_acc,res_wo_ref_i8_acc,res_wo_ref_i9_acc,res_wo_ref_i4_acc,res_wo_ref_i5_acc,res_wo_ref_i7_acc,res_wo_ref_i6_acc,res_wo_ref_i2_acc,res_wo_ref_i3_acc,res_wo_ref_i1_acc,res_wo_ref_i0_acc,res_wo_ref_i10_acc,type,level
 Benjamin Halfpenny was a footballer for a club that plays its home matches where?,Warrington.,Warrington,Widnes,Widnes,Warrington,Warrington,"Widnes, St. Helens, and Warrington.","Widnes, St. Helens, and Warrington",Widnes,Widnes,Warrington.,Widnes,"Warrington, St. Helens, or Widnes.",Warrington,Select Security Stadium,Widnes,Warrington,Select Security Stadium,Widnes,Select Security Stadium,Select Security Stadium,Warrington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,hard
Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?,Philippe Noiret,Isabelle Mergault,Philippe Noiret,Philippe Noiret,Philippe Noiret,Philippe Noiret,Philippe Noiret,Philippe Noiret,Philippe Noiret,Philippe Noiret,Philippe Noiret,Antoine de Caunes,Antoine de Caunes,Isabelle Mergault,Isabelle Mergault,Philippe Noiret,Isabelle Mergault,Philippe Noiret,Antoine de Caunes,Philippe Noiret,Isabelle Mergault,Antoine de Caunes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,bridge,hard
"Which band has more members, Muse or The Raconteurs?",The Raconteurs,The Raconteurs,The Raconteurs,The Raconteurs,The Raconteurs,The Raconteurs,The Raconteurs,The Raconteurs,The Raconteurs,The Raconteurs,The Raconteurs,Muse,The Raconteurs,The Raconteurs,The Raconteurs,Muse,Muse,The Raconteurs,Muse,The Raconteurs,The Raconteurs,Muse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,comparison,easy
Are David Gordon Green and Larry Hagman both actors?,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,Yes.,No.,No.,No.,No.,No.,No.,No.,no,No.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,medium
Which African-American composer co-wrote Air?,Henry Threadgill,Henry Threadgill,Henry Threadgill,Henry Threadgill,Henry Threadgill,Henry Threadgill,Henry Threadgill,Henry Threadgill,Henry Threadgill,Henry Threadgill,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Michael Adams,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Scott Joplin,Michael Adams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,easy
"Richard Yates published a work by the name of ""Eleven Kinds of Loneliness"", one of Italo Calvino's best known works was of the same genre and named what?",Italian Folktales,Cosmicomics,"""If on a winter's night a traveler""",Invisible Cities,Invisible Cities,Invisible Cities,Italian Folktales,"""Invisible Cities""","There is no mention of Italo Calvino writing a work of the same genre as Richard Yates' ""Eleven Kinds of Loneliness.""","""Invisible Cities""",If on a winter's night a traveler,Italian Folktales,Italian Folktales,Italian Folktales,"""Cosmicomics""",Italian Folktales,"""Cosmicomics""","""Cosmicomics""","""Cosmicomics""","""Cosmicomics""","""Cosmicomics""",Italian Folktales,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,comparison,hard
"Terenzo is a city in the Province of Parma, which region of Italy is Terenzo located in?",Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,Emilia-Romagna,northern Italian region,Emilia-Romagna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,hard
"Route 146, Interstate 890, and what other highway all run through Schenectady, New York?",New York State Route 337,"There is no other highway mentioned in the context that runs through Schenectady, New York.",I-90,I-890,New York State Route 337,New York State Route 890,I-90,I-90,New York State Route 337,I-90,There is no other highway mentioned in the context.,New York State Route 337,New York State Route 337,New York State Route 890,New York State Route 337,I-90,New York State Route 890,I-90,New York State Route 337,I-90,I-90,New York State Route 337,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,hard
What was the official name for the draft that Thomas E. O'Donnell was a public opponent of?,Conscription,The Selective Training and Service Act,The Enrollment Act of 1863,Enrollment Act of 1863,There is no specific mention of the official name for the draft that Thomas E. O'Donnell was a public opponent of in the given context.,Conscription Act or Enrollment Act of 1863,Conscription in the United States,American Civil War draft,Civil War draft,Civil War Draft,The draft,Selective Training and Service Act,Selective Training and Service Act,Selective Training and Service Act,Selective Training and Service Act,Selective Training and Service Act,Selective Training and Service Act,The Selective Training and Service Act,Selective Training and Service Act,Selective Training and Service Act,Conscription in the United States,Selective Training and Service Act,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,hard
When was the company that publishes the journal Magnetic Resonance Imaging established ?,1967,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1880,1982,1880,1880,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,hard
"Ian Hunter and Stuart Murdoch, have which musical occupation in common?",Musician.,Musician.,Musicians.,lead singers,lead singer,Lead singers.,lead singer,lead singer,lead singers,lead singer,Musicians.,Musician,Singer-songwriter,Lead singer,Musician,Singer,Musician,lead singer,lead singer,lead singer,lead singer,Musician,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,easy
Who was the husband of the first olympic gymnast to be awarded a perfect score of 10.0?,Bart Conner,Bart Conner,Bart Conner,Bart Conner,Bart Conner,Bart Conner,Bart Conner,Bart Conner,Bart Conner,Bart Conner,Bart Conner,Frank Haubold,Bart Conner,Bart Conner,Bart Conner,Frank Haubold,Bart Conner,Bart Conner,Bart Conner,Bart Conner,Bart Conner,Frank Haubold,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
"Spaceballs is a 1987 American comic science fiction film co-written, produced and directed by Mel Brooks, the film also features which American actor, businessman, and animal welfare advocate, best known for his role as patriarch Tom Bradford on the ABC television comedy-drama ""Eight Is Enough""?",Dick Van Patten,Dick Van Patten,Dick Van Patten,"Apologies for the confusion. The correct answer is none. There is no American actor, businessman, and animal welfare advocate from the context of ""Eight Is Enough"" featured in the film ""Spaceballs"".",Dick Van Patten,Richard Vincent Van Patten,Richard Vincent Van Patten,Richard Vincent Van Patten,The film also features Dick Van Patten.,Richard Vincent Van Patten,Dick Van Patten,Dick Van Patten,Dick Van Patten,Richard Vincent Van Patten,Richard Vincent Van Patten,Dick Van Patten,Dick Van Patten,Dick Van Patten,Dick Van Patten,Richard Vincent Van Patten,Richard Vincent Van Patten,Dick Van Patten,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,bridge,easy
Padgate is a suburb of an english town on the banks of the River Mersey whose population was estimated to be 208800 in 2016 but in which unitary authority area is it located?,Warrington.,Warrington,Warrington,Warrington,Warrington,Warrington.,Cheshire.,Cheshire,Warrington,Warrington.,Warrington.,Warrington,Warrington.,Warrington.,Warrington,Warrington,Warrington,Warrington,Warrington,Cheshire,Cheshire,Warrington,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,bridge,easy
Are Randal Kleiser and Kyle Schickner of the same nationality? ,Yes.,Yes.,No.,No.,No.,yes,yes,Yes.,yes,Yes.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No,No.,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,hard
"Bath School of Art and Design is an art college in Bath, England, it forms part of the Bath Spa University, a public university in Bath, England, with its main campus based at Newton Park on which location?",Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Duchy of Cornwall land,Duchy of Cornwall land.,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,Newton Park,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bridge,easy
Where is the there a small medevial castle,"Clare Castle, Suffolk, England.","Clare, Suffolk, England.",Scotland,"Scotland, England, Germany, Japan, and Slovenia.","Clun, Shropshire.",Scotland,Scotland,Scotland,"Castle Acre, Clare, Clun.",Scotland,"Barra, Scotland","Scotland, England, Germany, Japan, Slovenia","Clare, Suffolk, England.",Scotland,"Clun, Shropshire, England.","Castle Acre, Clare, and Barra.","Clun, Shropshire.",Scotland,"Clun, Shropshire",Scotland,Scotland,"Barra, Clare, Castle Acre, Clun, Otočec",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,bridge,easy
"Are the documentaries Welcome to Durham, USA and The Agronomist both about Durham, North Carolina?",No.,No.,No.,No.,Yes.,No.,Yes.,No.,Yes.,No.,No.,No.,Yes.,No.,No.,No.,No,No.,No.,No.,No.,Yes.,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,comparison,medium
"Which member of the band Bad Seeds was older, Anita Lane or Nick Cave?",Anita Lane.,Nick Cave,Nick Cave,Anita Lane,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,Nick Cave,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bridge,hard
Which airline founded by Frank Lorenzo was affected by a strike in 1989?,Continental Airlines,Eastern Air Lines,Continental Airlines,Eastern Air Lines,Eastern Air Lines,Continental Airlines,Eastern Air Lines,Eastern Air Lines,Continental Airlines,Eastern Air Lines,Continental Airlines,Eastern Air Lines,Eastern Air Lines,Eastern Air Lines,Eastern Air Lines,Eastern Air Lines,Eastern Air Lines,International Association of Machinists,Eastern Air Lines,Eastern Air Lines,International Association of Machinists,Eastern Air Lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,bridge,hard
What roles does American actress which  Manfish featured in  the motion picture debut of do play,Unknown,I apologize for the incorrect information in my previous responses. The American actress Barbara Nichols did not appear in the film Manfish.,Barbara Nichols.,Barbara Nichols,Barbara Nichols,Unknown,The specific roles of the American actress in the motion picture debut of Manfish are not mentioned.,unknown roles,Barbara Nichols,Unknown,Barbara Nichols.,Barbara Nichols,Barbara Nichols,Barbara Nichols,Barbara Nichols.,Barbara Nichols played a role in Manfish.,Barbara Nichols.,Barbara Nichols,comic roles,comic roles,comic roles,Barbara Nichols.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,bridge,hard
"In the 1990's, who built one of the three mills landmarks in California?",Mills Corporation,Mills Corporation,Mills Corporation,Mills Corporation,Mills Corporation,Mills Corporation,Mills Corporation.,Mills Corporation.,Mills Corporation,Mills Corporation,Steve Wozniak and Steve Jobs,Ford Motor Land Development and Petrie Dierman Kughn.,Mills Corporation,Petrie Dierman Kughn in 1994.,Simon Property Group,Petrie Dierman Kughn,Petrie Dierman Kughn in 1994.,Petrie Dierman Kughn in 1994.,Petrie Dierman Kughn.,Petrie Dierman Kughn in 1994.,Petrie Dierman Kughn in 1994.,Simon Property Group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,bridge,easy
Summit1g started streaming the battle royale game published by which company?,Epic Games,PUBG Corp.,PUBG Corp.,PUBG Corp.,PUBG Corp.,PUBG Corp.,PUBG Corp.,PUBG Corp.,Epic Games,Epic Games,PUBG Corp.,PUBG Corp.,Epic Games,PUBG Corp.,PUBG Corp.,Epic Games,Epic Games,PUBG Corp.,PUBG Corp.,PUBG Corp.,PUBG Corp.,Epic Games,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
"Which documentary was released earlier, Almost Sunrise or 51 Birch Street?",Almost Sunrise,51 Birch Street,51 Birch Street,Almost Sunrise,Almost Sunrise,Almost Sunrise,Almost Sunrise,Almost Sunrise,Almost Sunrise,Almost Sunrise,51 Birch Street,Almost Sunrise,Almost Sunrise,Almost Sunrise,Almost Sunrise,Almost Sunrise,Almost Sunrise,Almost Sunrise,51 Birch Street,51 Birch Street,51 Birch Street,51 Birch Street,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,comparison,medium
"What was the name of the band that starred Belinda Carlisle and released the album, Germicide in 1977?",The Germs.,The Germs,The Germs.,The Germs,The Germs.,The Germs,The Germs,The Germs,The Germs,The Germs,There is no band that starred Belinda Carlisle and released the album Germicide in 1977.,The Germs,The Germs.,The Germs,The Germs,The Germs,The Germs.,The Germs,The Germs,The Germs,The Go-Go's,The Germs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,bridge,hard
"Which film was released first, Roving Mars or The London Connection?",The London Connection,Roving Mars,Roving Mars,Roving Mars,Roving Mars,Roving Mars,Roving Mars,Roving Mars,Roving Mars,Roving Mars,The London Connection,Roving Mars,The London Connection,Roving Mars,Roving Mars,Roving Mars,Roving Mars,The London Connection,Roving Mars,Roving Mars,The London Connection,Roving Mars,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,comparison,medium
Are Manettia and Fragaria both edible?,No.,"Fragaria is edible, Manettia is not.","Fragaria is edible, Manettia is not.",No.,"Fragaria is edible, Manettia is not.",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,no,No,no,No.,No.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,hard
What Indian politician hosted a Hindi language Indian television talk show?,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Malhotra,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Irani,Smriti Malhotra,Smriti Irani,Smriti Malhotra,Smriti Irani,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,bridge,easy
In what year was the woman whose former chief of staff was Rachel Noerdlinger born?,Not mentioned.,1954,1954,1954,1954,1954,1954,There is no information available about the birth year of the woman whose former chief of staff was Rachel Noerdlinger.,1970,1970,1970,1970,1970,1954,1954,1970,1970,1954,1954,1954,1954,1970,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,bridge,hard
"Who worked for both the Security Service and the Secret Intelligence Service, and began writing novels under his pen name, Audre Lorde or John le Carré?",John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,David John Moore Cornwell,John le Carré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,comparison,easy
"Which was founded first, Stellenbosch University or Wayne State University?",Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University.,Stellenbosch University.,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University,Stellenbosch University.,Stellenbosch University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,easy
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?",New Orleans Arena,New Orleans Arena,Ford Center,Ford Center,Ford Center,New Orleans Arena,Smoothie King Center.,Ford Center,Smoothie King Center,Ford Center,New Orleans Arena,Ford Center,Ford Center,Ford Center,Smoothie King Center,Ford Center,Ford Center,Ford Center,Smoothie King Center,Ford Center,Smoothie King Center,Ford Center,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,bridge,easy
