question,extracted_sentences
 Benjamin Halfpenny was a footballer for a club that plays its home matches where?,"['Benjamin Halfpenny (25 April 1906 – 15 June 1966) was an English professional rugby league footballer who played in the 1920s, and 1930s, playing at representative level for Great Britain (non-Test matches), and England, and at club level for Widnes, St. Helens, and Warrington, as a wing , or loose forward/lock , i.e. number 2 or 5, 3 or 4, 8 or 10, 11 or 12, or, 13.', 'Widnes Vikings R.L.F.C. is an English professional rugby league club based in Widnes, Cheshire which currently plays in the Super League, the top tier of European rugby league.', ' The club plays its home matches at the Select Security Stadium.']"
Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?,"[' The ceremony was chaired by Isabelle Mergault. ""', 'Tell No One"" won the award for Best Film.', ' Written by Canet and Philippe Lefebvre and starring François Cluzet, the film won four categories at the 2007 César Awards in France: Best Director (Guillaume Canet), Best Actor (François Cluzet), Best Editing and Best Music Written for a Film.']"
"Which band has more members, Muse or The Raconteurs?","['Muse are an English rock band from Teignmouth, Devon, formed in 1994.', ' The band consists of Matt Bellamy (lead vocals, guitar, piano, keyboards), Chris Wolstenholme (bass guitar, backing vocals, keyboards) and Dominic Howard (drums, percussion).', 'The Raconteurs , also known as The Saboteurs in Australia, is an American rock supergroup that was formed in Detroit, Michigan, featuring four musicians associated with earlier musical projects: Jack White (formerly of The White Stripes, currently The Dead Weather, as well as solo), Brendan Benson (solo), Jack Lawrence (of The Greenhornes, Blanche and The Dead Weather), and Patrick Keeler (also of The Greenhornes).']"
Are David Gordon Green and Larry Hagman both actors?,"['David Gordon Green (born April 9, 1975) is an American filmmaker.', 'Larry Martin Hagman (September 21, 1931 November 23, 2012) was an American film and television actor, director and producer best known for playing ruthless oil baron J.R. Ewing in the 1980s primetime television soap opera ""Dallas"" and befuddled astronaut Major Anthony ""Tony"" Nelson in the 1960s sitcom, ""I Dream of Jeannie"".']"
Which African-American composer co-wrote Air?,"['Air Lore is an album by the improvisational trio Air featuring Henry Threadgill, Steve McCall, and Fred Hopkins performing compositions by Jelly Roll Morton and Scott Joplin.', 'Scott Joplin ( ; 1867/68 or November 24, 1868– April 1, 1917) was an African-American composer and pianist.']"
"Richard Yates published a work by the name of ""Eleven Kinds of Loneliness"", one of Italo Calvino's best known works was of the same genre and named what?","[' His first short story collection, ""Eleven Kinds of Loneliness"", brought comparisons to James Joyce.', ' His best known works include the ""Our Ancestors"" trilogy (1952–1959), the ""Cosmicomics"" collection of short stories (1965), and the novels ""Invisible Cities"" (1972) and ""If on a winter\'s night a traveler"" (1979).']"
"Terenzo is a city in the Province of Parma, which region of Italy is Terenzo located in?","['Terenzo is a ""comune"" (municipality) in the Province of Parma in the Italian region Emilia-Romagna, located about 100 km west of Bologna and about 30 km southwest of Parma.', 'Parma ]    (Emilian: ""Pärma"" ) is a city in the northern Italian region of Emilia-Romagna famous for its prosciutto (ham), cheese, architecture, music and surrounding countryside.']"
"Route 146, Interstate 890, and what other highway all run through Schenectady, New York?","[' Fort Hunter lies along New York Route 146 near the Albany-Schenectady county line.', 'Interstate 890 (I-890) is a 9.45 mi long auxiliary Interstate Highway in the vicinity of Schenectady, New York, in the United States.', ' The highway runs southeast–northwest from an interchange with the New York State Thruway (I-90) northwest of Schenectady to another junction with the Thruway south of the city and passes through Downtown Schenectady along the way.']"
What was the official name for the draft that Thomas E. O'Donnell was a public opponent of?,"[' He was a public opponent of the draft, so he was promptly arrested.', 'Conscription in the United States, commonly known as the draft, has been employed by the federal government of the United States in four conflicts: the American Civil War, World War I, World War II, and the Cold War (including both the Korean and Vietnam Wars).']"
When was the company that publishes the journal Magnetic Resonance Imaging established ?,"['Magnetic Resonance Imaging is a peer-reviewed scientific journal published by Elsevier, encompassing biology, physics, and clinical science as they relate to the development and use of magnetic resonance imaging technology.', ' It was established in 1880 as a publishing company.']"
"Ian Hunter and Stuart Murdoch, have which musical occupation in common?","['Ian Hunter Patterson (born 3 June 1939), known as Ian Hunter, is a British singer-songwriter who is best known as the lead singer of the English rock band Mott the Hoople, from its inception in 1969 to its dissolution in 1974, and at the time of its 2009 and 2013 reunions.', 'Stuart Lee Murdoch (born 25 August 1968) is a Scottish musician, writer and filmmaker, and the lead singer and songwriter for the indie pop band Belle and Sebastian.']"
Who was the husband of the first olympic gymnast to be awarded a perfect score of 10.0?,"[' He currently owns and operates the Bart Conner Gymnastics Academy in Norman, Oklahoma, along with his wife, Romanian Olympic gold medalist Nadia Comăneci.', 'Nadia Elena Comăneci (] ; born November 12, 1961) is a Romanian Olympic gold medalist, who at the age of 14 in the Olympic games during the 1976 Olympics in Montreal, became the first gymnast to be awarded a perfect score of 10.0.']"
"Spaceballs is a 1987 American comic science fiction film co-written, produced and directed by Mel Brooks, the film also features which American actor, businessman, and animal welfare advocate, best known for his role as patriarch Tom Bradford on the ABC television comedy-drama ""Eight Is Enough""?","[' Starring Brooks, Bill Pullman, John Candy, and Rick Moranis, the film also features Daphne Zuniga, Dick Van Patten, and the voice of Joan Rivers.', 'Richard Vincent Van Patten (December 9, 1928 – June 23, 2015) was an American actor, businessman, and animal welfare advocate, best known for his role as patriarch Tom Bradford on the ABC television comedy-drama ""Eight Is Enough"".']"
Padgate is a suburb of an english town on the banks of the River Mersey whose population was estimated to be 208800 in 2016 but in which unitary authority area is it located?,"['Padgate is a suburb of the English town and unitary authority of Warrington, Cheshire.', 'Warrington is a large town and unitary authority area in Cheshire, England, on the banks of the River Mersey, 20 mi east of Liverpool, and 20 mi west of Manchester.', ' The population in 2016 was estimated at 208,800, more than double that of 1968 when it became a New Town.']"
Are Randal Kleiser and Kyle Schickner of the same nationality? ,"['John Randal Kleiser (born July 20, 1946) is an American film director and producer, best known for directing the 1978 musical romantic comedy film ""Grease"".', 'Kyle Schickner is an American film producer, writer, director, actor and a bisexual civil rights activist.']"
"Bath School of Art and Design is an art college in Bath, England, it forms part of the Bath Spa University, a public university in Bath, England, with its main campus based at Newton Park on which location?","['Bath School of Art and Design is an art college in Bath, England.', 'Bath Spa University is a public university in Bath, England, with its main campus based at Newton Park on Duchy of Cornwall land.']"
Where is the there a small medevial castle,"['Castlebay (Scottish Gaelic: ""Bàgh a\' Chaisteil"" ) is the main village and a community council area on the island of Barra in the Outer Hebrides, Scotland.', 'Kisimul Castle (Scottish Gaelic: ""Caisteal Chiosmuil"" ) and also known as Kiessimul Castle, is a small medieval castle located on a small island off Castlebay, Barra, in the Outer Hebrides, Scotland.']"
"Are the documentaries Welcome to Durham, USA and The Agronomist both about Durham, North Carolina?","['Welcome to Durham, USA is a documentary about gang violence in Durham, North Carolina.', 'The Agronomist is a 2003 American documentary directed by Jonathan Demme, and starring Jean Dominique.', "" The documentary follows the life of Dominique, who ran Haiti's first independent radio station, Radio Haiti-Inter, during multiple repressive regimes.""]"
"Which member of the band Bad Seeds was older, Anita Lane or Nick Cave?","['Anita Louise Lane (born ca. 1959) is an Australian singer-songwriter who was briefly a member of the Bad Seeds with Nick Cave and Mick Harvey, and has collaborated with both former band mates.', 'Nicholas Edward Cave {\'1\': "", \'2\': "", \'3\': "", \'4\': ""} (born 22 September 1957) is an Australian musician, singer-songwriter, author, screenwriter, composer and occasional film actor, best known as the frontman of the rock band Nick Cave and the Bad Seeds.']"
Which airline founded by Frank Lorenzo was affected by a strike in 1989?,"['Charlie Bryan (11 December 1933 - 2 November 2013) was the head of the International Association of Machinists union in the southeast United States, during the mid to late 1980s.', ' He led machinists to strike against Eastern Air Lines and Frank Lorenzo in 1989.', ' He is most famous for his leadership of Texas International Airlines and its successor holding company Texas Air Corporation between 1972 and 1990, through which he formed or acquired a number of major U.S. airlines including Continental Airlines, Eastern Air Lines, Frontier Airlines, New York Air and People Express Airlines.']"
What roles does American actress which  Manfish featured in  the motion picture debut of do play,"[' The film also featured the motion picture debut of Barbara Nichols.', 'Barbara Marie Nickerauer (December 10, 1928 – October 5, 1976), better known as Barbara Nichols, was an American actress who often played brassy or comic roles in films in the 1950s and 1960s.']"
"In the 1990's, who built one of the three mills landmarks in California?","[' It is one of three Mills landmarks in California that are now owned by Simon Property Group since April 2007.', 'The Great Mall of the Bay Area (often simply called The Great Mall) is a large indoor outlet shopping mall in Milpitas, California built by Ford Motor Land Development and Petrie Dierman Kughn in 1994.']"
Summit1g started streaming the battle royale game published by which company?,"[' Lazar switched to streaming ""PlayerUnknown\'s Battlegrounds"" after the game\'s pre-release in March 2017.', ""PlayerUnknown's Battlegrounds (PUBG) is a multiplayer online battle royale video game developed and published by PUBG Corp., a subsidary of Korean publisher Bluehole.""]"
"Which documentary was released earlier, Almost Sunrise or 51 Birch Street?","['Almost Sunrise is a 2016 American documentary film directed by Michael Collins.', '51 Birch Street is a 2005 documentary film about the universal themes of love, marriage, fidelity, and the mystery of a suburban family, directed by Doug Block.']"
"What was the name of the band that starred Belinda Carlisle and released the album, Germicide in 1977?","[' Disc jockey Rodney Bingenheimer appears at the beginning as master of ceremonies, and ""Belinda"" briefly takes the mic to introduce the band, who she describes as ""sluts"".', "" She gained worldwide fame as the lead vocalist of The Go-Go's, one of the most successful all-female bands of all time, and went on to have a prolific career as a solo act.""]"
"Which film was released first, Roving Mars or The London Connection?","['Roving Mars is an IMAX documentary film about the development, launch, and operation of the Mars Exploration Rovers, Spirit and Opportunity.', 'The London Connection is a 1979 film directed by Robert Clouse for Walt Disney Productions.']"
Are Manettia and Fragaria both edible?,"['Manettia is a genus of flowering plants in the family Rubiaceae.', 'Fragaria is a genus of flowering plants in the rose family, Rosaceae, commonly known as strawberries for their edible fruits.']"
What Indian politician hosted a Hindi language Indian television talk show?,"['Kuch... Diiil Se is a Hindi language Indian television talk show series hosted by Smriti Irani, which premiered on SAB TV on June 23, 2003.', 'Smriti Zubin Irani (born Smriti Malhotra; 23 March 1976) is an Indian politician, former model, television actress and producer.']"
In what year was the woman whose former chief of staff was Rachel Noerdlinger born?,"["" She is the former chief of staff to New York City Mayor Bill de Blasio's wife Chirlane McCray."", 'Chirlane Irene McCray (born November 29, 1954) is an American writer, editor, communications professional, and political figure.']"
"Who worked for both the Security Service and the Secret Intelligence Service, and began writing novels under his pen name, Audre Lorde or John le Carré?","['Audre Lorde ( ; born Audrey Geraldine Lorde; February 18, 1934 – November 17, 1992) was a writer, feminist, womanist, librarian, and civil rights activist.', 'David John Moore Cornwell (born 19 October 1931), known by the pseudonym John le Carré ( ), is a British author of espionage novels.']"
"Which was founded first, Stellenbosch University or Wayne State University?","[' Stellenbosch is jointly the oldest university in South Africa and the oldest extant university in Sub-Saharan Africa alongside the University of Cape Town which received full university status on the same day in 1918.', ' Founded in 1868, WSU consists of 13 schools and colleges offering nearly 350 programs to more than 27,000 graduate and undergraduate students.']"
"The 2006-07 New Orleans/Oklahoma City Hornets season was the team's 5th in the NBA, the Hornets split their games between the New Orleans Arena and the Ford Center, which multi-purpose indoor arena, located in the city's Central Business District, in New Orleans, Louisiana?","[' The Hornets improved by one win, finishing 39-43, but failed to reach the playoffs.', 'The Smoothie King Center is a multi-purpose indoor arena in New Orleans, Louisiana.']"
What is the actor who starred in School Spirit best known for?,"[' The film was directed by Alan Holleb, and stars Tom Nolan, Roberta Collins, and Larry Linville.', ' He was best known for his portrayal of the surgeon Major Frank Burns on the television series ""M*A*S*H"".']"
Have James Agee and Nelly Sachs both won a Nobel Prize in Literature?,"[' In the 1940s, he was one of the most influential film critics in the U.S. His autobiographical novel, ""A Death in the Family"" (1957), won the author a posthumous 1958 Pulitzer Prize.', ' She was awarded with the Nobel Prize in Literature in 1966.']"
"Which film director is younger, Del Lord or Wang Xiaoshuai?","['Del Lord (October 7, 1894March 23, 1970) was a Canadian film director and actor best known as a director of Three Stooges films.', 'Wang Xiaoshuai (; born May 22, 1966) is a Chinese film director, screenwriter and occasional actor.']"
"What is the given name of the creator of the Album released on July 7, 2017 by Slaughter Gang and Epic Records?","['Shayaa Bin Abraham-Joseph (born October 22, 1992), better known by his stage name 21 Savage, is an American rapper from Atlanta, Georgia.', ' He was best known for his mixtapes, ""The Slaughter Tape"" and ""Slaughter King"" and his extended plays ""Free Guwop"" and ""Savage Mode"" with Metro Boomin before the release of his debut album, ""ISSA"" and its lead single, ""Bank Account"".', 'Issa Album is the debut studio album by American rapper 21 Savage.', ' The album was released on July 7, 2017 by Slaughter Gang and Epic Records.']"
What is the name of the business that George Dayton founded and later Bruce Dayton expanded?,"["" Dayton was the last surviving of member of the five Dayton brothers – all grandsons of George Dayton, the founder of The Dayton Company – who expanded their grandfather's Dayton's department store in downtown Minneapolis from a single location into the national Target Corporation, one of the largest retail store chains in the United States."", ' Dayton served as the chief executive officer (CEO) of the Dayton Hudson Corporation, the company now known as the Target Corporation, before becoming the chairman of Dayton Hudson from 1970 to 1977.', ""George Draper Dayton (March 6, 1857 – February 18, 1938) was an American businessman and philanthropist, most famous for being the founder of Dayton's department store, which later became Target Corporation.""]"
"What British rock band is responsible for bolstering Quiet Riot's hit ""Mental Health?""","['Metal Health is the third studio album by American heavy metal band Quiet Riot.', ' It was released on March 11, 1983, bolstered by the No. 5 hit ""Cum On Feel the Noize"" and the No. 31 hit ""Metal Health"".', '""Cum On Feel the Noize"" is a song by the British rock band Slade, released in 1973 as a non-album single.']"
"Johanna Veenstra (1894–1933) was the first missionary of the Christian Reformed Church (CRC) to go to Nigeria,   was an ocean liner designed by Leonard Peskett and built by Swan, Hunter & Wigham Richardson for the British Cunard Line, on October 2, 1919, she left New York City on the RMS Mauretania, was an ocean liner designed by Leonard Peskett, and built by Swan, Hunter & Wigham Richardson, for which organization?","[' On October 2, 1919, she left New York City on the ""Mauretania"" for England; on December 31, 1919, she took another ship to Africa, arriving in Lagos in January 1920.', 'RMS ""Mauretania"" was an ocean liner designed by Leonard Peskett and built by Swan, Hunter & Wigham Richardson for the British Cunard Line, and launched on the afternoon of 20 September 1906.']"
Were Serguei Kouchnerov and Arvid E. Gillstrom both in the same industry?,"['Serguei Kouchnerov (born 22 June 1960 in Rahachow, Belarusian SSR) - artist, animator, director, story artist and screenwriter.', 'Arvid E. Gillstrom (13 August 1889 – 21 May 1935), was a Swedish film director and screenwriter.']"
What film title does J. F. Lawton and Shawn Levy have in common?,"['Jonathan Frederick ""J. F."" Lawton (born August 11, 1960) is an American screenwriter, producer and director.', 'Shawn Levy (born July 23, 1968) is a Canadian film director, producer, and actor.']"
"What number post-Beatles album of Paul McCartney did ""No Words""  appear on?","['""No Words"" is a song written by Paul McCartney and Denny Laine, and first released on 7 December 1973 on ""Band on the Run"" by Paul McCartney and Wings.', 'Band on the Run is the third studio album by Paul McCartney and Wings, released in December 1973.', ' It marked the fifth album by Paul McCartney since his departure from the Beatles in April 1970.']"
"Downton is a civil parish in Herefordshire, located in the north of the county and containing the village of Downton-on-the-Rock, in which manuscript record of the ""Great Survey"" of much of England and parts of Wales completed in 1086, Downton is referred to as ""Duntune"", meaning ""hill settlement""?","[' In the Domesday Book Downton is referred to as ""Duntune"", meaning ""hill settlement"".', 'Domesday Book ( or ; Latin: ""Liber de Wintonia"" ""Book of Winchester"") is a manuscript record of the ""Great Survey"" of much of England and parts of Wales completed in 1086 by order of King William the Conqueror.']"
"In addition to A Bayou Legend, how many other works did William Grant Still compose?","['A Bayou Legend is an American opera composed by William Grant Still, with a libretto by his wife and frequent collaborator, Verna Arvey.', 'William Grant Still (May 11, 1895 – December 3, 1978) was an American composer, who composed more than 150 works, including five symphonies and eight operas.']"
"Andover, located in Essex County, Massachusetts, is an example of a basic unit of local government and local division of state authority in each of the six New England states, commonly referred to in other states as what?","['Andover is a town in Essex County, Massachusetts, United States.', 'The New England town (generally referred to simply as a town in New England) is the basic unit of local government and local division of state authority in each of the six New England states and without a direct counterpart in most other U.S. states.', ' New England towns overlay the entire area of a state, similar to civil townships in other states where they exist, but they are fully functioning municipal corporations, possessing powers similar to cities in other states.']"
"While both singer-songwriters have displayed incredible talent, what sets Robert Palmer apart from Wayne Coyne, causing him to gain populatiry in two continents?","[' He is the lead singer, occasional backing vocalist, guitarist, keyboardist, theremin player and songwriter for the band the Flaming Lips.', ' He was known for his distinctive, soulful voice, eclectic mix of musical styles on his albums, combining soul, jazz, rock, pop, reggae, blues, and sartorial acumen.']"
"Mfon Sunday Udoka, is a Nigerian American former professional basketball player and the new Assistant Coach of the Nigeria women's national basketball team the Lady Tigers, she's the sister of NBA player Ime Sunday Udoka, a Nigerian-American former professional basketball player, and current assistant coach for the San Antonio Spurs, of which organization?","[' She is the sister of NBA player Ime Udoka.', 'Ime Sunday Udoka ( ; born August 9, 1977) is a Nigerian-American former professional basketball player and current assistant coach for the San Antonio Spurs of the National Basketball Association (NBA).']"
Which happened first Battle of Okinawa or Operation Nordwind ?,"[' The 82-day battle lasted from April 1 until June 22, 1945.', 'Operation North Wind (German: ""Unternehmen Nordwind"" ) was the last major German offensive of World War II on the Western Front.', ' It began on 31 December 1944 in Alsace and Lorraine in northeastern France, and ended on 25 January.']"
"What type od dance music inspired the band, ""The Kabalas""?","['The Kabalas were a four-piece band out of the Quad Cities area of the American Mid-West whose musical foundations were based firmly in a traditional Eastern European Klezmer style that mixed in Jewish folksongs, Israeli popular songs, Polka and popular music.', 'The polka is originally a Czech dance and genre of dance music familiar throughout Europe and the Americas.']"
Who is the artist of The Scarlet Letter and debdebuted on the music scene as Missy Elliott's protégée?,"[""The Scarlet Letter (stylized The SCARlet Letter) is the fifth studio album by American recording artist Lil' Mo."", ""Cynthia Karen Loving, (born November 19, 1978) best known by her stage name Lil' Mo, is an American R&B singer, radio personality, songwriter, and record producer."", ' She debuted on the music scene as Missy Elliott\'s protégée and contributed guest vocals to some of Elliott\'s work, most notably the record-breaking ""Hot Boyz"".']"
"What was the royal title of the man whose German government backed the colonization of Poland by German settlers, one ofthe factors leading to the plight of rural Poland which was the focus of the novel The Outpost?","['The Outpost (Polish title: ""Placówka"") was the first of four major novels by the Polish writer Bolesław Prus.', "" The author, writing in a Poland that had been partitioned a century earlier by Russia, Prussia and Austria, sought to bring attention to the plight of rural Poland, which had to contend with poverty, ignorance, neglect by the country's upper crust, and colonization by German settlers backed by Otto von Bismarck's German government."", 'Otto Eduard Leopold, Prince of Bismarck, Duke of Lauenburg (1 April 1815 – 30 July 1898), known as Otto von Bismarck (] ), was a conservative Prussian statesman who dominated German and European affairs from the 1860s until 1890.']"
 What nationality was James Henry Miller's wife?,"['Margaret ""Peggy"" Seeger (born June 17, 1935) is an American folksinger.', ' She is also well known in Britain, where she has lived for more than 30 years, and was married to the singer and songwriter Ewan MacColl until his death in 1989.', 'James Henry Miller (25 January 1915 – 22 October 1989), better known by his stage name Ewan MacColl, was an English folk singer, songwriter, communist, labour activist, actor, poet, playwright and record producer.']"
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?","[' Vocals are handled by Aesop Rock, with guest appearances from Camu Tao and Metro of S.A. Smash and Definitive Jux label head El-P.', 'Jaime Meline (born March 2, 1975), better known by his stage name El-P (shortened from El Producto), is an American hip hop recording artist, record producer, and record executive.']"
Where did the form of music played by Die Rhöner Säuwäntzt originate?,"['Die Rhöner Säuwäntzt are a Skiffle-Bluesband from Eichenzell-Lütter in Hessen, Germany.', ' Originating as a term in the United States in the first half of the 20th century, it became popular again in the UK in the 1950s, where it was associated with artists such as Lonnie Donegan, The Vipers Skiffle Group, Ken Colyer and Chas McDevitt.']"
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?","[""Warren Bryant was the CEO of Longs Drugs Store Corporation out of California prior to the retail chain's acquisition by CVS/Caremark."", 'Longs Drugs is an American chain with approximately 40 drug stores throughout the state of Hawaii.']"
Where is the company that purchased Aixam based in?,"[' On April 11, 2013, US based Polaris Industries announced that it had acquired Aixam-Mega.', ' Polaris is based in Roseau, Minnesota, USA.']"
Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,"['Pauline Henry (born 29 January 1961) is a British Jamaican recording artist.', ' She was the vocalist in the Scottish band The Chimes, best known for their 1990 cover version of U2\'s ""I Still Haven\'t Found What I\'m Looking For"", between 1988 and 1991.', '""I Still Haven\'t Found What I\'m Looking For"" is a song by Irish rock band U2.', ' It is the second track from their 1987 album ""The Joshua Tree"" and was released as the album\'s second single in May 1987.']"
Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,"['Sooni Taraporevala (born 1957) is an Indian screenwriter, photographer and filmmaker who is best known as the screenwriter of ""Mississippi Masala"", ""The Namesake"" and Oscar-nominated ""Salaam Bombay"" (1988), all directed by Mira Nair.', 'Mississippi Masala is a 1991 romantic drama film directed by Mira Nair, based upon a screenplay by Sooni Taraporevala, starring Denzel Washington, Sarita Choudhury, and Roshan Seth.']"
"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?","['Gigantic is a 2008 independent comedy film directed by Matt Aselton and starring Paul Dano, Zooey Deschanel, John Goodman, Edward Asner and Jane Alexander.', ' Early in his career, he was best known for playing Dan Conner on the ABC TV series ""Roseanne"" (1988–1997), for which he won a Golden Globe Award for Best Actor in 1993.']"
According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?,"[' He was born in 1972 in Enugu.', ' The city had a population of 722,664 according to the 2006 Nigerian census.']"
Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?,"[' Its basis is the Fragrant Concubine, a Chinese legend about a Uighur girl from Kashgar who became a concubine of the Qianlong Emperor.', ' The cartoon was produced to improve relations between the Han Chinese and the Uighurs.', "" They constitute approximately 92% of the population of China, 95% of Taiwan (Han Taiwanese), 76% of Singapore, 23% of Malaysia and about 17% of the global population, making them the world's largest ethnic group with over 1.3 billion people.""]"
The Thoen Stone is on display at a museum in what county?,"[' It is currently on display at the Adams Museum & House in Deadwood, South Dakota.', 'Deadwood (Lakota: ""Owáyasuta""; ""To approve or confirm things"") is a city in South Dakota, United States, and the county seat of Lawrence County.']"
"What book contains a poem which, along with ""Beowulf"" and the ""Anglo-Saxon Chronicle"", preserves a legendary list of the kings of the Angles?","['The Angles were a dominant Germanic tribe in the Anglo-Saxon settlement of Britain, and gave their name to the English, England and to the region of East Anglia.', ' Originally from Angeln, present-day Schleswig-Holstein, a legendary list of their kings has been preserved in the heroic poems ""Widsith"" and ""Beowulf"", and the ""Anglo-Saxon Chronicle"".', 'Widsith is an Old English poem of 143 lines.', ' The poem survives only in the Exeter Book, a manuscript of Old English poetry compiled in the late 10th century containing approximately one sixth of all surviving Old English poetry.']"
Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,"['Norbert Holm (16 December 1895 – 3 June 1962) was a general in the Wehrmacht of Nazi Germany during World War II.', ' Following the 20 July plot, on 16 September 1944, Norbert Holm was arrested and later demoted because of his Chief of Operations association with Field Marsal Erwin Rommel.', 'Erwin Rommel (15 November 1891 – 14 October 1944) was a German general and military theorist.', ' Popularly known as the Desert Fox, he served as field marshal in the Wehrmacht of Nazi Germany during World War II.']"
 Teri W. Odom is a member of a scientific journal first published in 2007 by who?,"['Teri W. Odom is an American chemist and materials scientist.', ' Odom is a member of the editorial advisory board of ACS Nano, Chemical Physics Letters, Journal of Physical Chemistry, and Nano Letters.', 'ACS Nano is a monthly, peer-reviewed, scientific journal, first published in August 2007 by the American Chemical Society.']"
La Barredora was a gang that declared war on the leader of the cartel based where?,"[' After the Mexican military gunned down the top boss of the cartel – Arturo Beltrán Leyva – in December 2009, his brother Héctor Beltrán Leyva took control of one of the factions of the cartel and declared war on Edgar Valdez Villarreal, who had long been the right hand of Arturo.', 'Edgar Valdez Villarreal (born August 11, 1973) also known as La Barbie (""The Barbie""), is a Mexican American suspected drug lord and leader of the Beltrán Leyva Cartel, a criminal group based in Sinaloa.']"
What year did the chairman of the Jenkins Commission die?,"['The Independent Commission on the Voting System, popularly known as the Jenkins Commission after its chairman Roy Jenkins, was a commission into possible reform of the United Kingdom electoral system.', 'Roy Harris Jenkins, Baron Jenkins of Hillhead, (11 November 1920 – 5 January 2003) was a British Labour Party, SDP and Liberal Democrat politician, and biographer of British political leaders.']"
What nationality was a  historical drama film directed by?,"['Lisandro Alonso (born 2 June 1975) is an Argentine film director and screenwriter.', 'Jauja is a 2014 internationally co-produced historical drama film co-written and directed by Lisandro Alonso.']"
